Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2014-12-19,5157.05717,25944,48.53688496,39.90518039,615953
2014-12-20,4312.790094,22743,50.66687666,39.07136262,616579
2014-12-21,3353.765943,17951,52.84299523,38.75550109,616987
2014-12-22,3202.293774,18160,56.48517746,39.35022026,617507
2014-12-23,3413.291604,19050,50.6901364,42.77165354,617924
2014-12-24,2738.63434,14021,44.24212743,49.55424007,618227
2014-12-25,0,0,n/a,n/a,618266
2014-12-26,3479.869528,18535,52.46085593,38.01456704,618753
2014-12-27,3680.295,19814,52.220801,39.65378016,619292
2014-12-28,3777.983962,21391,59.56633554,38.64709457,620011
2014-12-29,2725.052075,16005,56.29079548,41.26210559,620517
2014-12-30,3285.313679,19517,53.46192065,45.73961162,621180
2014-12-31,4823.115566,24968,49.82751402,43.17926946,621985
2015-01-01,3727.441698,20190,56.78516617,35.77513621,622721
2015-01-02,4512.436509,25062,53.76186864,37.55087383,623627
2015-01-03,4464.009245,24786,52.40248961,38.86064714,624475
2015-01-04,3140.015,17957,54.80694886,39.00985688,625174
2015-01-05,2076.788679,12621,52.65768176,40.01267728,625624
2015-01-06,2184.177453,14674,49.82277124,51.38339921,626037
2015-01-07,2394.913868,13925,51.54884642,38.08258528,626540
2015-01-08,2651.27934,15353,52.70605743,37.43242363,627075
2015-01-09,5011.717075,27482,53.4600831,40.16811004,627951
2015-01-10,4661.242453,25557,52.65941929,37.74308409,628795
2015-01-11,3285.336132,18686,54.23959232,38.03917371,629448
2015-01-12,2229.654528,13249,53.67301593,41.00686844,629828
2015-01-13,2169.864528,14228,49.93442335,51.49001968,630193
2015-01-14,2196.77783,12751,51.51898074,40.73406007,630551
2015-01-15,2655.928868,15123,52.36750842,38.74231303,631002
2015-01-16,4807.598302,25931,52.81286059,40.53835178,631715
2015-01-17,4219.927547,22889,50.16571419,39.20223688,632355
2015-01-18,3779.073019,20646,54.38418636,38.52077884,632956
2015-01-19,2151.413113,12678,54.15107376,39.26486828,633312
2015-01-20,1912.197358,12826,49.23150251,53.53968501,633606
2015-01-21,1937.35934,11260,50.03374317,41.39431616,633869
2015-01-22,2337.877547,13629,50.73723538,41.33832269,634199
2015-01-23,5096.363113,27349,54.10470386,38.88990457,635100
2015-01-24,4130.320189,22337,52.20314593,38.63992479,635757
2015-01-25,2712.793585,15686,54.86249432,39.47469081,636156
2015-01-26,1797.427925,10670,53.07368978,38.64104967,636454
2015-01-27,2216.225849,14265,49.38855339,52.18366632,636823
